,jobTitle,skills,Activity,Activite1,Activite2,Activite3,Activite4,Activite5,Activite6,Activite7,Activite8,Activite9,Activite10
19,Cloud Engineer,"['Cloud Computing', 'Software Development', 'Astrophysics', 'Qt', 'Symfony Framework', 'Amazon Web Services (AWS)']",['unknown'],unknown,,,,,,,,,
20,Cloud engineer and devops,"['Java', 'Cloud Computing', 'Git', 'Linux System Administration', 'MySQL', 'Ansible']",['unknown'],unknown,,,,,,,,,
21,Cloud & DevOps Engineer,"['DevOps', 'Cloud Computing', 'Amazon Web Services (AWS)', 'IT Infrastructure Management', 'Software Development', 'Infrastructure as code (IaC)']",['unknown'],unknown,,,,,,,,,
24,Senior Devops Engineer,"['Continuous Integration and Continuous Delivery (CI/CD)', 'IT Infrastructure Operations', 'Security', 'Server Administration', 'GitOps', 'Docker']",['unknown'],unknown,,,,,,,,,
26,DevOps & Cloud Engineer,"['Go', 'Terraform', 'Ansible', 'Scrum', 'Docker', 'Angular']",['unknown'],unknown,,,,,,,,,
28,DevOps Engineer,"['Tekton CI/CD', 'Gitlab', 'Continuous Integration and Continuous Delivery (CI/CD)', 'Apache Kafka', 'OpenShift', 'Quarkus']",['unknown'],unknown,,,,,,,,,
31,Cloud Engineer ,"['C++', 'Java', 'SQL', 'Linux', 'PHP', 'JavaScript']",['unknown'],unknown,,,,,,,,,
32,Cloud & DevOps Engineer ,"['Cloud Computing', 'Cloud Security', 'OpenStack', 'Big Data', 'Virtualization', 'Storage Virtualization']","['Working with Microsoft Azure and its different Scopes ( AAD, VMs, SQL, SQLMI, Storage Accounts, Automation Accounts, Azure Functions,..... ).', 'Migrating on-premises Applications to the cloud (hybrid and full public solutions ).', 'Working With Azure Kubernetes Service both Managed and UnManaged.', 'Writing DockerFiles and Generating Docker Images.', 'Developing CICD pipelines using Azure DevOps ( Azure ARM, Bash, Powershell, Ansible....... ).', 'Support of the Infrastructure and running Applications.']","Working with Microsoft Azure and its different Scopes ( AAD, VMs, SQL, SQLMI, Storage Accounts, Automation Accounts, Azure Functions,..... ).",Migrating on-premises Applications to the cloud (hybrid and full public solutions ).,Working With Azure Kubernetes Service both Managed and UnManaged.,Writing DockerFiles and Generating Docker Images.,"Developing CICD pipelines using Azure DevOps ( Azure ARM, Bash, Powershell, Ansible....... ).",Support of the Infrastructure and running Applications.,,,,
34,Internship Engineer DevOps,"['Cloud Computing', 'DevOps', 'AWS', 'Project management', 'Engineering', 'Analytical skills']",['Continuous integration and deployment (CI/CD) of an HRM application under odoo.'],Continuous integration and deployment (CI/CD) of an HRM application under odoo.,,,,,,,,,
38,Cloud Engineer,"['Big data', 'Business Intelligence', 'Amazon Web Services (AWS)', 'Data Mining', 'Project management', 'Finance']",['unknown'],unknown,,,,,,,,,
47,DevOps engineer,"['Network administration', 'Team spirit', 'Linux System Administration', 'Critical Spirit', 'Sense of organization', 'unknown']",['unknown'],unknown,,,,,,,,,
53,Cloud & DevOps Engineer ,"['Microsoft Office', 'Management', 'Microsoft Excel', 'Customer service', 'Leadership', 'Microsoft Word']","['Load test implementation for new features developed by the dev team before deployment on the production environment', 'Create Jenkins pipeline to automata test execution', 'Analyze load test results to verify if there is a bottleneck that needs improvement in the infrastructure on AWS', 'Create Test Environments on AWS Using Terraform & Packer as IaC (Infrastructure as Code) tool and Ansible as CM (Configuration Management) tool', 'Monitor production environment servers on AWS using CloudWatch service', 'Automatic several manual tasks using Jenkins pipelines', 'Automation and management test and production environment services on AWS']",Load test implementation for new features developed by the dev team before deployment on the production environment,Create Jenkins pipeline to automata test execution,Analyze load test results to verify if there is a bottleneck that needs improvement in the infrastructure on AWS,Create Test Environments on AWS Using Terraform & Packer as IaC (Infrastructure as Code) tool and Ansible as CM (Configuration Management) tool,Monitor production environment servers on AWS using CloudWatch service,Automatic several manual tasks using Jenkins pipelines,Automation and management test and production environment services on AWS,,,
