,Activity,Activite1,Activite2,Activite3,Activite4,Activite5,Activite6,Activite7,Activite8,Activite9,Activite10,Poste actuel
0,['unckown'],unckown,,,,,,,,,,Business Intelligence Developer
1,"['Design and implementation of dashboards to analyse the RUN MEDIANET SERVICE activity:', '> Dashboard with plots, charts, filters about the project, tickets and their managers.', '> Follow-up of the status of a task(Ticket) and its deadlines.', '> Team performance monitoring and the advancement of the sprint.', '> Advancement of the sprint.', '> Generation of business production plans.', '> Identification of project monitoring indicators (PPIs).']",Design and implementation of dashboards to analyse the RUN MEDIANET SERVICE activity:,"> Dashboard with plots, charts, filters about the project, tickets and their managers.",> Follow-up of the status of a task(Ticket) and its deadlines.,> Team performance monitoring and the advancement of the sprint.,> Advancement of the sprint.,> Generation of business production plans.,> Identification of project monitoring indicators (PPIs).,,,,Internal Business Intelligence 
2,"['Skills: Extract, Transform, Load (ETL) · Microsoft Power BI']","Skills: Extract, Transform, Load (ETL) · Microsoft Power BI",,,,,,,,,,Business Intelligence Trainee
3,['unckown'],unckown,,,,,,,,,,Internship in engineering
4,"['CRM', 'Dynamic 365', 'Power BI']",CRM,Dynamic 365,Power BI,,,,,,,,Development of a partner portal
5,['unckown'],unckown,,,,,,,,,,unckown
6,['unckown'],unckown,,,,,,,,,,unckown
7,['unckown'],unckown,,,,,,,,,,Data Analyst
8,"['Development of a BI solution to help detect fraud in health insurance using power bi for reporting and data analysis.', 'this solution based on 3 steps:', '1/Data prepertion: data clearing with Python and R', '2/Elaborate the modelling phase', '3/Creating a predictive model']",Development of a BI solution to help detect fraud in health insurance using power bi for reporting and data analysis.,this solution based on 3 steps:,1/Data prepertion: data clearing with Python and R,2/Elaborate the modelling phase,3/Creating a predictive model,,,,,,Business Intelligence Developer
9,['unckown'],unckown,,,,,,,,,,Teacher trainer 
10,['unckown'],unckown,,,,,,,,,,unckown
11,['unckown'],unckown,,,,,,,,,,BI Consultant
12,['unckown'],unckown,,,,,,,,,,Business Intelligence Internal
13,"[""I'm currently a we3 developer at Lightency.""]",I'm currently a we3 developer at Lightency.,,,,,,,,,,web3 developer
14,['PFE course'],PFE course,,,,,,,,,,Trainee 
15,['unckown'],unckown,,,,,,,,,,Business Intelligence Engineer
16,['Developer in decision-making computing '],Developer in decision-making computing ,,,,,,,,,,Decision-making intelligence developer
17,['unckown'],unckown,,,,,,,,,,unckown
18,['Skills: Business Intelligence (BI) · Web Development · SQL Server Integration Services (SSIS)'],Skills: Business Intelligence (BI) · Web Development · SQL Server Integration Services (SSIS),,,,,,,,,,Business Intelligence Internal
19,['unckown'],unckown,,,,,,,,,,Cloud Engineer
20,['unckown'],unckown,,,,,,,,,,Cloud engineer and devops
21,['unckown'],unckown,,,,,,,,,,Cloud & DevOps Engineer
22,['unckown'],unckown,,,,,,,,,,Internship - PFE
23,"['Implementation of a supervision solution for the GCT IT system with e-mail and SMS notifications.', '-Technologies: Nagios, Postfix, SMS Server Tools.']",Implementation of a supervision solution for the GCT IT system with e-mail and SMS notifications.,"-Technologies: Nagios, Postfix, SMS Server Tools.",,,,,,,,,System Administrator
24,['unckown'],unckown,,,,,,,,,,Senior Devops Engineer
25,['unckown'],unckown,,,,,,,,,,Trainee
26,['unckown'],unckown,,,,,,,,,,DevOps & Cloud Engineer
27,"['24/7 development operations on IBMI AS400 system', 'Being part of the Cloud Ops team in the company that works on: Managing and monitoring clients resources in the cloud, Managing and troubleshooting Windows servers, VMs, RDPs.', 'Working on server health checks', 'Continue monitoring using HALCYON monitoring tool', 'Analyzing and taking care of ERP applications-related alerts', 'Generating and Sending the Performance Reports on time to customers.']",24/7 development operations on IBMI AS400 system,"Being part of the Cloud Ops team in the company that works on: Managing and monitoring clients resources in the cloud, Managing and troubleshooting Windows servers, VMs, RDPs.",Working on server health checks,Continue monitoring using HALCYON monitoring tool,Analyzing and taking care of ERP applications-related alerts,Generating and Sending the Performance Reports on time to customers.,,,,,Cloud Support Engineer
28,['unckown'],unckown,,,,,,,,,,DevOps Engineer
29,['Skills: Microsoft Azure'],Skills: Microsoft Azure,,,,,,,,,,Azure Engineer
30,['unckown'],unckown,,,,,,,,,,unckown
31,['unckown'],unckown,,,,,,,,,,Cloud Engineer 
32,"['Working with Microsoft Azure and its different Scopes ( AAD, VMs, SQL, SQLMI, Storage Accounts, Automation Accounts, Azure Functions,..... ).', 'Migrating on-premises Applications to the cloud (hybrid and full public solutions ).', 'Working With Azure Kubernetes Service both Managed and UnManaged.', 'Writing DockerFiles and Generating Docker Images.', 'Developing CICD pipelines using Azure DevOps ( Azure ARM, Bash, Powershell, Ansible....... ).', 'Support of the Infrastructure and running Applications.']","Working with Microsoft Azure and its different Scopes ( AAD, VMs, SQL, SQLMI, Storage Accounts, Automation Accounts, Azure Functions,..... ).",Migrating on-premises Applications to the cloud (hybrid and full public solutions ).,Working With Azure Kubernetes Service both Managed and UnManaged.,Writing DockerFiles and Generating Docker Images.,"Developing CICD pipelines using Azure DevOps ( Azure ARM, Bash, Powershell, Ansible....... ).",Support of the Infrastructure and running Applications.,,,,,Cloud & DevOps Engineer 
33,['unckown'],unckown,,,,,,,,,,Senior Azure Cloud Engineer
34,['Continuous integration and deployment (CI/CD) of an HRM application under odoo.'],Continuous integration and deployment (CI/CD) of an HRM application under odoo.,,,,,,,,,,Internship Engineer DevOps
35,['unckown'],unckown,,,,,,,,,,DevSecOps Engineer
36,"['- Setting up an automated infrastructure on Google Cloud using Terraform, GitHub Actions, and Rancher Kubernetes Engine;', '- Setting up with Helm Chart an observability stack using Prometheus, Grafana, and Alert Manager to send notifications on Slack;', '- Separating metrics and logs per namespaces using Prometheus federator;', '- Deploying a web app, managing the config files of the resources deployed in the cluster using Lens;', '- Automatic the deployment of a Spring Boot/Angular/MySQL app on AKS using GitHub Pipeline actions;', '- Kubernetes cluster administration.']","- Setting up an automated infrastructure on Google Cloud using Terraform, GitHub Actions, and Rancher Kubernetes Engine;","- Setting up with Helm Chart an observability stack using Prometheus, Grafana, and Alert Manager to send notifications on Slack;",- Separating metrics and logs per namespaces using Prometheus federator;,"- Deploying a web app, managing the config files of the resources deployed in the cluster using Lens;",- Automatic the deployment of a Spring Boot/Angular/MySQL app on AKS using GitHub Pipeline actions;,- Kubernetes cluster administration.,,,,,DevOps & Kubernetes Administrator 
37,['unckown'],unckown,,,,,,,,,,DevOps Consultant
38,['unckown'],unckown,,,,,,,,,,Cloud Engineer
39,['unckown'],unckown,,,,,,,,,,Technical Consultant
40,['unckown'],unckown,,,,,,,,,,VMware Engineer Hybrid Cloud
41,['Skills: Microsoft Azure · Jenkins · docker'],Skills: Microsoft Azure · Jenkins · docker,,,,,,,,,,Internship 
42,['Skills: Service-Oriented Architecture (SOA) · System Administration · Microsoft Azure · Automation · Cloud Computing'],Skills: Service-Oriented Architecture (SOA) · System Administration · Microsoft Azure · Automation · Cloud Computing,,,,,,,,,,Information Technology Instructor
43,"['Design, development and implementation of a cyber threat analysis tool within CERT Axians.', 'This tool allows you to store, organize and visualize information about cyber threats.']","Design, development and implementation of a cyber threat analysis tool within CERT Axians.","This tool allows you to store, organize and visualize information about cyber threats.",,,,,,,,,Summer Internship
44,"['Setting up a Kubernet cluster production ready using Kubespray', 'Creation of nginx pods', 'Deployment of an Angular application to the cluster using DockerFile+DockerHub+ Kubernetes Dashboard', 'Cluster +Application monitoring via prophesying and Grafana']",Setting up a Kubernet cluster production ready using Kubespray,Creation of nginx pods,Deployment of an Angular application to the cluster using DockerFile+DockerHub+ Kubernetes Dashboard,Cluster +Application monitoring via prophesying and Grafana,,,,,,,DevOps and Cloud Computing intern
45,['unckown'],unckown,,,,,,,,,,Cloud platform engineer
46,['unckown'],unckown,,,,,,,,,,Student
