,jobTitle,skills,Activity,Activite1,Activite2,Activite3,Activite4,Activite5,Activite6,Activite7,Activite8,Activite9,Activite10
0,Business Intelligence Developer,"['SQL Server Integration Services (SSIS)', 'SQL Server Management Studio', 'SQL', 'Spring Boot', 'Angular', 'Data analysis']",['unknown'],unknown,,,,,,,,,
1,Internal Business Intelligence ,"['Redmine', 'Microsoft Power BI', 'Talend Open Studio', 'R', 'Big data', 'Deep learning']","['Design and implementation of dashboards to analyse the RUN MEDIANET SERVICE activity:', '> Dashboard with plots, charts, filters about the project, tickets and their managers.', '> Follow-up of the status of a task(Ticket) and its deadlines.', '> Team performance monitoring and the advancement of the sprint.', '> Advancement of the sprint.', '> Generation of business production plans.', '> Identification of project monitoring indicators (PPIs).']",Design and implementation of dashboards to analyse the RUN MEDIANET SERVICE activity:,"> Dashboard with plots, charts, filters about the project, tickets and their managers.",> Follow-up of the status of a task(Ticket) and its deadlines.,> Team performance monitoring and the advancement of the sprint.,> Advancement of the sprint.,> Generation of business production plans.,> Identification of project monitoring indicators (PPIs).,,,
2,Business Intelligence Trainee,"['Extract, Transform, Load (ETL)', 'Leadership', 'Engineering', 'Project management', 'RStudio', '.NET Core']","['Skills: Extract, Transform, Load (ETL) · Microsoft Power BI']","Skills: Extract, Transform, Load (ETL) · Microsoft Power BI",,,,,,,,,
3,Internship in engineering,"['Machine learning algorithms', 'PostgreSQL', 'Python (programming language)', 'Project management', 'Java', '.NET framework']",['unknown'],unknown,,,,,,,,,
4,Development of a partner portal,"['E-commerce', 'Digital marketing', 'Decision-making informatics', 'Teamwork', 'Project management', 'Customer Relationship Management (CRM)']","['CRM', 'Dynamic 365', 'Power BI']",CRM,Dynamic 365,Power BI,,,,,,,
7,Data Analyst,"['Power BI', 'Talend', 'Python', 'Extract, transform, load (ETL)', 'Data analysis', 'SQL Server Integration Services (SSIS)']",['unknown'],unknown,,,,,,,,,
8,Business Intelligence Developer,"['Microsoft Power BI', 'Python (programming language)', 'R (programming language)', 'Spring Boot', '.NET framework', 'Project management']","['Development of a BI solution to help detect fraud in health insurance using power bi for reporting and data analysis.', 'this solution based on 3 steps:', '1/Data prepertion: data clearing with Python and R', '2/Elaborate the modelling phase', '3/Creating a predictive model']",Development of a BI solution to help detect fraud in health insurance using power bi for reporting and data analysis.,this solution based on 3 steps:,1/Data prepertion: data clearing with Python and R,2/Elaborate the modelling phase,3/Creating a predictive model,,,,,
9,Teacher trainer ,"['unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown']",['unknown'],unknown,,,,,,,,,
11,BI Consultant,"['Java', 'C', 'JavaScript', 'Talend Open Studio', 'Power BI', 'Data analysis']",['unknown'],unknown,,,,,,,,,
12,Business Intelligence Internal,"['Telecommunications', 'Microsoft Word', 'Strategic planning', 'Business intelligence', 'Big data', 'Data analysis']",['unknown'],unknown,,,,,,,,,
13,web3 developer,"['PHP', 'HTML5', 'JavaScript', 'HTML', 'Node.js', 'Laravel']","[""I'm currently a we3 developer at Lightency.""]",I'm currently a we3 developer at Lightency.,,,,,,,,,
14,Trainee ,"['PostgreSQL', 'Talend', 'Microsoft Power BI', 'unknown', 'unknown', 'unknown']",['PFE course'],PFE course,,,,,,,,,
15,Business Intelligence Engineer,"['Data Analytics', 'Gaming', 'python', 'Microsoft Power BI', 'Microsoft Excel', 'Google Analytics']",['unknown'],unknown,,,,,,,,,
16,Decision-making intelligence developer,"['Analytical', 'Microsoft Power BI', 'SQL', 'Decision-making informatics', 'SQL Server Integration Services (SSIS)', 'Microsoft BI Suite']",['Developer in decision-making computing '],Developer in decision-making computing ,,,,,,,,,
18,Business Intelligence Internal,"['DevOps', 'Angular', 'Spring Boot', 'Microsoft Power BI', 'Business Intelligence (BI)', 'Big Data']",['Skills: Business Intelligence (BI) · Web Development · SQL Server Integration Services (SSIS)'],Skills: Business Intelligence (BI) · Web Development · SQL Server Integration Services (SSIS),,,,,,,,,
19,Cloud Engineer,"['Cloud Computing', 'Software Development', 'Astrophysics', 'Qt', 'Symfony Framework', 'Amazon Web Services (AWS)']",['unknown'],unknown,,,,,,,,,
20,Cloud engineer and devops,"['Java', 'Cloud Computing', 'Git', 'Linux System Administration', 'MySQL', 'Ansible']",['unknown'],unknown,,,,,,,,,
21,Cloud & DevOps Engineer,"['DevOps', 'Cloud Computing', 'Amazon Web Services (AWS)', 'IT Infrastructure Management', 'Software Development', 'Infrastructure as code (IaC)']",['unknown'],unknown,,,,,,,,,
22,Internship - PFE,"['Oracle Database', 'C++', 'Linux', 'Network administration', 'Web development', 'Network security']",['unknown'],unknown,,,,,,,,,
23,System Administrator,"['Engineers', 'Linux', 'Cloud Computing', 'DevOps', 'Amazon Web Services', 'Jenkins']","['Implementation of a supervision solution for the GCT IT system with e-mail and SMS notifications.', '-Technologies: Nagios, Postfix, SMS Server Tools.']",Implementation of a supervision solution for the GCT IT system with e-mail and SMS notifications.,"-Technologies: Nagios, Postfix, SMS Server Tools.",,,,,,,,
24,Senior Devops Engineer,"['Continuous Integration and Continuous Delivery (CI/CD)', 'IT Infrastructure Operations', 'Security', 'Server Administration', 'GitOps', 'Docker']",['unknown'],unknown,,,,,,,,,
26,DevOps & Cloud Engineer,"['Go', 'Terraform', 'Ansible', 'Scrum', 'Docker', 'Angular']",['unknown'],unknown,,,,,,,,,
27,Cloud Support Engineer,"['Virtualization', 'Cloud Computing', 'Git', 'Microsoft Azure', 'Network Administration', 'DevOps']","['24/7 development operations on IBMI AS400 system', 'Being part of the Cloud Ops team in the company that works on: Managing and monitoring clients resources in the cloud, Managing and troubleshooting Windows servers, VMs, RDPs.', 'Working on server health checks', 'Continue monitoring using HALCYON monitoring tool', 'Analyzing and taking care of ERP applications-related alerts', 'Generating and Sending the Performance Reports on time to customers.']",24/7 development operations on IBMI AS400 system,"Being part of the Cloud Ops team in the company that works on: Managing and monitoring clients resources in the cloud, Managing and troubleshooting Windows servers, VMs, RDPs.",Working on server health checks,Continue monitoring using HALCYON monitoring tool,Analyzing and taking care of ERP applications-related alerts,Generating and Sending the Performance Reports on time to customers.,,,,
28,DevOps Engineer,"['Tekton CI/CD', 'Gitlab', 'Continuous Integration and Continuous Delivery (CI/CD)', 'Apache Kafka', 'OpenShift', 'Quarkus']",['unknown'],unknown,,,,,,,,,
29,Azure Engineer,"['Cloud Computing', 'Cloud Applications', 'Enterprise Mobility', 'Networking', 'Microsoft Azure', 'System administration']",['Skills: Microsoft Azure'],Skills: Microsoft Azure,,,,,,,,,
31,Cloud Engineer ,"['C++', 'Java', 'SQL', 'Linux', 'PHP', 'JavaScript']",['unknown'],unknown,,,,,,,,,
