,Unnamed: 0,jobTitle,skills,Activity,Activite1,Activite2,Activite3,Activite4,Activite5,Activite6,Activite7,Activite8,Activite9,Activite10,word_tokenized1,word_tokenized2,word_tokenized3,word_tokenized4,word_tokenized5,word_tokenized6,word_tokenized7,word_tokenized8,word_tokenized9,word_tokenized10,clean_words1,clean_words2,clean_words3,clean_words4,clean_words5,clean_words6,clean_words7,clean_words8,clean_words9,clean_words10,clean_stemmed1,clean_stemmed2,clean_stemmed3,clean_stemmed4,clean_stemmed5,clean_stemmed6,clean_stemmed7,clean_stemmed8,clean_stemmed9,clean_stemmed10,clean_lemmed1,clean_lemmed2,clean_lemmed3,clean_lemmed4,clean_lemmed5,clean_lemmed6,clean_lemmed7,clean_lemmed8,clean_lemmed9,clean_lemmed10,cluster
0,0,Business Intelligence Developer,SQL Server Integration Services (SSIS)SQL Server Management StudioSQLSpring BootAngularData analysis,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2
1,1,Internal Business Intelligence ,RedmineMicrosoft Power BITalend Open StudioRBig dataDeep learning,"['Design and implementation of dashboards to analyse the RUN MEDIANET SERVICE activity:', '> Dashboard with plots, charts, filters about the project, tickets and their managers.', '> Follow-up of the status of a task(Ticket) and its deadlines.', '> Team performance monitoring and the advancement of the sprint.', '> Advancement of the sprint.', '> Generation of business production plans.', '> Identification of project monitoring indicators (PPIs).']",Design and implementation of dashboards to analyse the RUN MEDIANET SERVICE activity:,"> Dashboard with plots, charts, filters about the project, tickets and their managers.",> Follow-up of the status of a task(Ticket) and its deadlines.,> Team performance monitoring and the advancement of the sprint.,> Advancement of the sprint.,> Generation of business production plans.,> Identification of project monitoring indicators (PPIs).,unknown,unknown,unknown,"['Design', 'implementation', 'dashboards', 'analyse', 'RUN', 'MEDIANET', 'SERVICE', 'activity']","['Dashboard', 'plots', 'charts', 'filters', 'project', 'tickets', 'managers']","['Follow', 'status', 'task', 'Ticket', 'deadlines']","['Team', 'performance', 'monitoring', 'advancement', 'sprint']","['Advancement', 'sprint']","['Generation', 'business', 'production', 'plans']","['Identification', 'project', 'monitoring', 'indicators', 'PPIs']",[],[],[],"['Design', 'implementation', 'dashboards', 'analyse', 'RUN', 'MEDIANET', 'SERVICE', 'activity']","['Dashboard', 'plots', 'charts', 'filters', 'project', 'tickets', 'managers']","['Follow', 'status', 'task', 'Ticket', 'deadlines']","['Team', 'performance', 'monitoring', 'advancement', 'sprint']","['Advancement', 'sprint']","['Generation', 'business', 'production', 'plans']","['Identification', 'project', 'monitoring', 'indicators', 'PPIs']",[],[],[],"['design', 'implement', 'dashboard', 'analys', 'run', 'medianet', 'servic', 'activ']","['dashboard', 'plot', 'chart', 'filter', 'project', 'ticket', 'manag']","['follow', 'statu', 'task', 'ticket', 'deadlin']","['team', 'perform', 'monitor', 'advanc', 'sprint']","['advanc', 'sprint']","['gener', 'busi', 'product', 'plan']","['identif', 'project', 'monitor', 'indic', 'ppi']",[],[],[],"['Design', 'implementation', 'dashboard', 'analyse', 'RUN', 'MEDIANET', 'SERVICE', 'activity']","['Dashboard', 'plot', 'chart', 'filter', 'project', 'ticket', 'manager']","['Follow', 'status', 'task', 'Ticket', 'deadline']","['Team', 'performance', 'monitoring', 'advancement', 'sprint']","['Advancement', 'sprint']","['Generation', 'business', 'production', 'plan']","['Identification', 'project', 'monitoring', 'indicator', 'PPIs']",[],[],[],2
2,2,Business Intelligence Trainee,"Extract, Transform, Load (ETL)LeadershipEngineeringProject managementRStudio.NET Core","['Skills: Extract, Transform, Load (ETL) · Microsoft Power BI']","Skills: Extract, Transform, Load (ETL) · Microsoft Power BI",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"['Skills', 'Extract', 'Transform', 'Load', 'ETL', 'Microsoft', 'Power', 'BI']",[],[],[],[],[],[],[],[],[],"['Skills', 'Extract', 'Transform', 'Load', 'ETL', 'Microsoft', 'Power', 'BI']",[],[],[],[],[],[],[],[],[],"['skill', 'extract', 'transform', 'load', 'etl', 'microsoft', 'power', 'bi']",[],[],[],[],[],[],[],[],[],"['Skills', 'Extract', 'Transform', 'Load', 'ETL', 'Microsoft', 'Power', 'BI']",[],[],[],[],[],[],[],[],[],2
3,3,Internship in engineering,Machine learning algorithmsPostgreSQLPython (programming language)Project managementJava.NET framework,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0
4,4,Development of a partner portal,E-commerceDigital marketingDecision-making informaticsTeamworkProject managementCustomer Relationship Management (CRM),"['CRM', 'Dynamic 365', 'Power BI']",CRM,Dynamic 365,Power BI,unknown,unknown,unknown,unknown,unknown,unknown,unknown,['CRM'],"['Dynamic', '365']","['Power', 'BI']",[],[],[],[],[],[],[],['CRM'],"['Dynamic', '365']","['Power', 'BI']",[],[],[],[],[],[],[],['crm'],"['dynam', '365']","['power', 'bi']",[],[],[],[],[],[],[],['CRM'],"['Dynamic', '365']","['Power', 'BI']",[],[],[],[],[],[],[],0
7,7,Data Analyst,"Power BITalendPythonExtract, transform, load (ETL)Data analysisSQL Server Integration Services (SSIS)",['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],1
8,8,Business Intelligence Developer,Microsoft Power BIPython (programming language)R (programming language)Spring Boot.NET frameworkProject management,"['Development of a BI solution to help detect fraud in health insurance using power bi for reporting and data analysis.', 'this solution based on 3 steps:', '1/Data prepertion: data clearing with Python and R', '2/Elaborate the modelling phase', '3/Creating a predictive model']",Development of a BI solution to help detect fraud in health insurance using power bi for reporting and data analysis.,this solution based on 3 steps:,1/Data prepertion: data clearing with Python and R,2/Elaborate the modelling phase,3/Creating a predictive model,unknown,unknown,unknown,unknown,unknown,"['Development', 'BI', 'solution', 'help', 'detect', 'fraud', 'health', 'insurance', 'using', 'power', 'bi', 'reporting', 'data', 'analysis']","['solution', 'based', '3', 'steps']","['1', 'Data', 'prepertion', 'data', 'clearing', 'Python', 'R']","['2', 'Elaborate', 'modelling', 'phase']","['3', 'Creating', 'predictive', 'model']",[],[],[],[],[],"['Development', 'BI', 'solution', 'help', 'detect', 'fraud', 'health', 'insurance', 'using', 'power', 'bi', 'reporting', 'data', 'analysis']","['solution', 'based', '3', 'steps']","['1', 'Data', 'prepertion', 'data', 'clearing', 'Python', 'R']","['2', 'Elaborate', 'modelling', 'phase']","['3', 'Creating', 'predictive', 'model']",[],[],[],[],[],"['develop', 'bi', 'solut', 'help', 'detect', 'fraud', 'health', 'insur', 'use', 'power', 'bi', 'report', 'data', 'analysi']","['solut', 'base', '3', 'step']","['1', 'data', 'prepert', 'data', 'clear', 'python', 'r']","['2', 'elabor', 'model', 'phase']","['3', 'creat', 'predict', 'model']",[],[],[],[],[],"['Development', 'BI', 'solution', 'help', 'detect', 'fraud', 'health', 'insurance', 'using', 'power', 'bi', 'reporting', 'data', 'analysis']","['solution', 'based', '3', 'step']","['1', 'Data', 'prepertion', 'data', 'clearing', 'Python', 'R']","['2', 'Elaborate', 'modelling', 'phase']","['3', 'Creating', 'predictive', 'model']",[],[],[],[],[],2
9,9,Teacher trainer ,unknownunknownunknownunknownunknownunknown,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0
11,11,BI Consultant,JavaCJavaScriptTalend Open StudioPower BIData analysis,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0
12,12,Business Intelligence Internal,TelecommunicationsMicrosoft WordStrategic planningBusiness intelligenceBig dataData analysis,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2
