,jobTitle,skills,Activity,Activite1,Activite2,Activite3,Activite4,Activite5,Activite6,Activite7,Activite8,Activite9,Activite10,cluster
0,Business Intelligence Developer,SQL Server Integration Services (SSIS)SQL Server Management StudioSQLSpring BootAngularData analysis,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2.0
1,Internal Business Intelligence ,RedmineMicrosoft Power BITalend Open StudioRBig dataDeep learning,"['Design and implementation of dashboards to analyse the RUN MEDIANET SERVICE activity:', '> Dashboard with plots, charts, filters about the project, tickets and their managers.', '> Follow-up of the status of a task(Ticket) and its deadlines.', '> Team performance monitoring and the advancement of the sprint.', '> Advancement of the sprint.', '> Generation of business production plans.', '> Identification of project monitoring indicators (PPIs).']",Design and implementation of dashboards to analyse the RUN MEDIANET SERVICE activity:,"> Dashboard with plots, charts, filters about the project, tickets and their managers.",> Follow-up of the status of a task(Ticket) and its deadlines.,> Team performance monitoring and the advancement of the sprint.,> Advancement of the sprint.,> Generation of business production plans.,> Identification of project monitoring indicators (PPIs).,unknown,unknown,unknown,2.0
2,Business Intelligence Trainee,"Extract, Transform, Load (ETL)LeadershipEngineeringProject managementRStudio.NET Core","['Skills: Extract, Transform, Load (ETL) · Microsoft Power BI']","Skills: Extract, Transform, Load (ETL) · Microsoft Power BI",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2.0
3,Internship in engineering,Machine learning algorithmsPostgreSQLPython (programming language)Project managementJava.NET framework,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
4,Development of a partner portal,E-commerceDigital marketingDecision-making informaticsTeamworkProject managementCustomer Relationship Management (CRM),"['CRM', 'Dynamic 365', 'Power BI']",CRM,Dynamic 365,Power BI,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
5,Data Analyst,"Power BITalendPythonExtract, transform, load (ETL)Data analysisSQL Server Integration Services (SSIS)",['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1.0
6,Business Intelligence Developer,Microsoft Power BIPython (programming language)R (programming language)Spring Boot.NET frameworkProject management,"['Development of a BI solution to help detect fraud in health insurance using power bi for reporting and data analysis.', 'this solution based on 3 steps:', '1/Data prepertion: data clearing with Python and R', '2/Elaborate the modelling phase', '3/Creating a predictive model']",Development of a BI solution to help detect fraud in health insurance using power bi for reporting and data analysis.,this solution based on 3 steps:,1/Data prepertion: data clearing with Python and R,2/Elaborate the modelling phase,3/Creating a predictive model,unknown,unknown,unknown,unknown,unknown,2.0
7,Teacher trainer ,unknownunknownunknownunknownunknownunknown,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
8,BI Consultant,JavaCJavaScriptTalend Open StudioPower BIData analysis,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
9,Business Intelligence Internal,TelecommunicationsMicrosoft WordStrategic planningBusiness intelligenceBig dataData analysis,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2.0
