,jobTitle,skills,Activity,Activite1,Activite2,Activite3,Activite4,Activite5,Activite6,Activite7,Activite8,Activite9,Activite10
0,Business Intelligence Developer,SQL Server Integration Services (SSIS)SQL Server Management StudioSQLSpring BootAngularData analysis,['unknown'],unknown,,,,,,,,,
1,Internal Business Intelligence ,RedmineMicrosoft Power BITalend Open StudioRBig dataDeep learning,"['Design and implementation of dashboards to analyse the RUN MEDIANET SERVICE activity:', '> Dashboard with plots, charts, filters about the project, tickets and their managers.', '> Follow-up of the status of a task(Ticket) and its deadlines.', '> Team performance monitoring and the advancement of the sprint.', '> Advancement of the sprint.', '> Generation of business production plans.', '> Identification of project monitoring indicators (PPIs).']",Design and implementation of dashboards to analyse the RUN MEDIANET SERVICE activity:,"> Dashboard with plots, charts, filters about the project, tickets and their managers.",> Follow-up of the status of a task(Ticket) and its deadlines.,> Team performance monitoring and the advancement of the sprint.,> Advancement of the sprint.,> Generation of business production plans.,> Identification of project monitoring indicators (PPIs).,,,
2,Business Intelligence Trainee,"Extract, Transform, Load (ETL)LeadershipEngineeringProject managementRStudio.NET Core","['Skills: Extract, Transform, Load (ETL) · Microsoft Power BI']","Skills: Extract, Transform, Load (ETL) · Microsoft Power BI",,,,,,,,,
3,Internship in engineering,Machine learning algorithmsPostgreSQLPython (programming language)Project managementJava.NET framework,['unknown'],unknown,,,,,,,,,
4,Development of a partner portal,E-commerceDigital marketingDecision-making informaticsTeamworkProject managementCustomer Relationship Management (CRM),"['CRM', 'Dynamic 365', 'Power BI']",CRM,Dynamic 365,Power BI,,,,,,,
5,unknown,unknownunknownunknownunknownunknownunknown,['unknown'],unknown,,,,,,,,,
6,unknown,Microsoft Dynamics CRMPython (programming language)TalendMicrosoft Power BIMicrosoft SQL Serverunknown,['unknown'],unknown,,,,,,,,,
7,Data Analyst,"Power BITalendPythonExtract, transform, load (ETL)Data analysisSQL Server Integration Services (SSIS)",['unknown'],unknown,,,,,,,,,
8,Business Intelligence Developer,Microsoft Power BIPython (programming language)R (programming language)Spring Boot.NET frameworkProject management,"['Development of a BI solution to help detect fraud in health insurance using power bi for reporting and data analysis.', 'this solution based on 3 steps:', '1/Data prepertion: data clearing with Python and R', '2/Elaborate the modelling phase', '3/Creating a predictive model']",Development of a BI solution to help detect fraud in health insurance using power bi for reporting and data analysis.,this solution based on 3 steps:,1/Data prepertion: data clearing with Python and R,2/Elaborate the modelling phase,3/Creating a predictive model,,,,,
9,Teacher trainer ,unknownunknownunknownunknownunknownunknown,['unknown'],unknown,,,,,,,,,
10,unknown,R (Programming Language)HTMLBusiness Intelligence (BI).NET FrameworkSpring BootSQL Server Integration Services (SSIS),['unknown'],unknown,,,,,,,,,
11,BI Consultant,JavaCJavaScriptTalend Open StudioPower BIData analysis,['unknown'],unknown,,,,,,,,,
12,Business Intelligence Internal,TelecommunicationsMicrosoft WordStrategic planningBusiness intelligenceBig dataData analysis,['unknown'],unknown,,,,,,,,,
13,web3 developer,PHPHTML5JavaScriptHTMLNode.jsLaravel,"[""I'm currently a we3 developer at Lightency.""]",I'm currently a we3 developer at Lightency.,,,,,,,,,
14,Trainee ,PostgreSQLTalendMicrosoft Power BIunknownunknownunknown,['PFE course'],PFE course,,,,,,,,,
15,Business Intelligence Engineer,Data AnalyticsGamingpythonMicrosoft Power BIMicrosoft ExcelGoogle Analytics,['unknown'],unknown,,,,,,,,,
16,Decision-making intelligence developer,AnalyticalMicrosoft Power BISQLDecision-making informaticsSQL Server Integration Services (SSIS)Microsoft BI Suite,['Developer in decision-making computing '],Developer in decision-making computing ,,,,,,,,,
17,unknown,Machine LearningMicrosoft Power BIData AnalysisJavaTensorFlowPL/SQL,['unknown'],unknown,,,,,,,,,
18,Business Intelligence Internal,DevOpsAngularSpring BootMicrosoft Power BIBusiness Intelligence (BI)Big Data,['Skills: Business Intelligence (BI) · Web Development · SQL Server Integration Services (SSIS)'],Skills: Business Intelligence (BI) · Web Development · SQL Server Integration Services (SSIS),,,,,,,,,
19,Cloud Engineer,Cloud ComputingSoftware DevelopmentAstrophysicsQtSymfony FrameworkAmazon Web Services (AWS),['unknown'],unknown,,,,,,,,,
20,Cloud engineer and devops,JavaCloud ComputingGitLinux System AdministrationMySQLAnsible,['unknown'],unknown,,,,,,,,,
21,Cloud & DevOps Engineer,DevOpsCloud ComputingAmazon Web Services (AWS)IT Infrastructure ManagementSoftware DevelopmentInfrastructure as code (IaC),['unknown'],unknown,,,,,,,,,
22,Internship - PFE,Oracle DatabaseC++LinuxNetwork administrationWeb developmentNetwork security,['unknown'],unknown,,,,,,,,,
23,System Administrator,EngineersLinuxCloud ComputingDevOpsAmazon Web ServicesJenkins,"['Implementation of a supervision solution for the GCT IT system with e-mail and SMS notifications.', '-Technologies: Nagios, Postfix, SMS Server Tools.']",Implementation of a supervision solution for the GCT IT system with e-mail and SMS notifications.,"-Technologies: Nagios, Postfix, SMS Server Tools.",,,,,,,,
24,Senior Devops Engineer,Continuous Integration and Continuous Delivery (CI/CD)IT Infrastructure OperationsSecurityServer AdministrationGitOpsDocker,['unknown'],unknown,,,,,,,,,
25,Trainee,unknownunknownunknownunknownunknownunknown,['unknown'],unknown,,,,,,,,,
26,DevOps & Cloud Engineer,GoTerraformAnsibleScrumDockerAngular,['unknown'],unknown,,,,,,,,,
27,Cloud Support Engineer,VirtualizationCloud ComputingGitMicrosoft AzureNetwork AdministrationDevOps,"['24/7 development operations on IBMI AS400 system', 'Being part of the Cloud Ops team in the company that works on: Managing and monitoring clients resources in the cloud, Managing and troubleshooting Windows servers, VMs, RDPs.', 'Working on server health checks', 'Continue monitoring using HALCYON monitoring tool', 'Analyzing and taking care of ERP applications-related alerts', 'Generating and Sending the Performance Reports on time to customers.']",24/7 development operations on IBMI AS400 system,"Being part of the Cloud Ops team in the company that works on: Managing and monitoring clients resources in the cloud, Managing and troubleshooting Windows servers, VMs, RDPs.",Working on server health checks,Continue monitoring using HALCYON monitoring tool,Analyzing and taking care of ERP applications-related alerts,Generating and Sending the Performance Reports on time to customers.,,,,
28,DevOps Engineer,Tekton CI/CDGitlabContinuous Integration and Continuous Delivery (CI/CD)Apache KafkaOpenShiftQuarkus,['unknown'],unknown,,,,,,,,,
29,Azure Engineer,Cloud ComputingCloud ApplicationsEnterprise MobilityNetworkingMicrosoft AzureSystem administration,['Skills: Microsoft Azure'],Skills: Microsoft Azure,,,,,,,,,
30,unknown,Spring BootSymfony FrameworkKubernetesOpenStackPHPEngineering,['unknown'],unknown,,,,,,,,,
31,Cloud Engineer ,C++JavaSQLLinuxPHPJavaScript,['unknown'],unknown,,,,,,,,,
